<unk>	-1
<e>	-1
不	26101
人	20772
山	15970
无	15601
风	15588
一	15083
日	14856
云	13305
有	12532
何	12264
来	12210
天	12102
中	11307
花	11276
时	11260
上	11053
春	11051
水	11004
月	10898
相	9598
年	9504
为	9370
生	9309
君	9253
长	9111
心	8949
自	8906
如	8634
知	8590
白	8387
归	8290
秋	8074
此	8054
行	7891
见	7756
去	7734
清	7472
夜	7455
江	7409
在	7372
空	7327
得	7255
下	7248
高	7161
里	6973
未	6939
明	6763
金	6599
多	6550
门	6535
青	6457
处	6400
是	6385
客	6373
寒	6250
落	6189
声	6166
子	6153
玉	6130
千	6046
三	5988
家	5967
雨	5959
今	5915
远	5868
道	5831
事	5828
前	5747
南	5736
朝	5727
万	5699
出	5616
路	5538
飞	5524
入	5498
东	5467
城	5427
草	5394
我	5393
尽	5360
深	5352
新	5304
与	5280
流	5265
开	5263
烟	5245
树	5236
思	5205
别	5081
已	5052
回	5047
地	5008
酒	4976
马	4967
西	4952
色	4948
将	4946
欲	4942
谁	4942
还	4908
应	4821
独	4732
可	4717
成	4710
闻	4687
闲	4679
光	4637
重	4589
更	4585
向	4566
阳	4471
同	4470
雪	4443
身	4418
望	4398
石	4385
香	4370
看	4344
满	4324
游	4297
愁	4292
海	4266
书	4185
老	4176
情	4165
从	4152
衣	4149
林	4137
红	4084
古	4069
歌	4056
头	4034
难	3985
尘	3967
楼	3886
方	3869
龙	3830
复	3817
旧	3797
莫	3774
黄	3769
似	3762
名	3757
能	3740
犹	3725
分	3671
后	3601
平	3569
作	3567
到	3565
气	3554
叶	3522
当	3517
言	3495
鸟	3488
仙	3473
过	3470
十	3453
间	3447
发	3404
几	3396
离	3389
亦	3345
松	3334
初	3322
王	3316
北	3291
台	3282
起	3264
意	3253
五	3232
外	3231
华	3227
诗	3212
非	3210
竹	3204
边	3202
百	3166
大	3123
随	3117
然	3112
公	3102
故	3102
梦	3089
宫	3084
暮	3083
安	3050
吟	2979
醉	2971
孤	2957
晚	2954
少	2953
枝	2953
国	2944
露	2940
汉	2935
野	2931
柳	2921
文	2901
阴	2894
神	2884
世	2865
终	2853
之	2832
坐	2776
所	2763
霜	2763
绿	2757
碧	2749
轻	2745
幽	2741
关	2740
逢	2738
若	2735
临	2732
好	2730
河	2719
留	2717
波	2711
岁	2699
微	2697
问	2681
芳	2677
四	2676
